Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
54 Praangan - Indore Marriott Hotel,"Awadhi, North Indian, Mughlai, Biryani, Desserts, Beverages",4.2,"₹3,500 for two",4.2,"Indore Marriott Hotel, Vijay Nagar, Indore","Sophisticated, Inviting Decor, Local Sourcing"
Shree Gurukripa,"North Indian, Chinese, Desserts, Beverages",3.7,"₹1,000 for two",5.6,"Vijay Nagar, Indore","Satisfying Portions, Inviting Decor, Efficient Service"
Tinku's,"Sandwich, Pizza, Burger, Fast Food, Chinese, Street Food, Coffee, Beverages",3.9,₹400 for two,3.7,"Bhawar Kuan, Indore","Great for Dates, Attentive Service, Cafe"
Capers - Hotel Effotel,"North Indian, Chinese, Continental, Mediterranean, Salad, Mughlai, Desserts, Beverages",4.6,"₹2,000 for two",5.5,"Hotel Effotel, Vijay Nagar, Indore","Exquisite Taste, Seasonal Menu, Innovative Dishes"
Tandoor Restaurant,"North Indian, Mughlai, Chinese, Kebab, Biryani",4.1,"₹1,300 for two",3.7,"Bhawar Kuan, Indore","Diverse Menu, Courteous Staff, Inviting Decor"
Manbhavan - Premium Veg Thali,"North Indian, Gujarati",3.8,₹500 for two,2.1,"Hotel Princes' Palace, South Tukoganj, Indore","Attentive Service, Well-priced Options, Sophisticated"
CBC Cafe,"Sandwich, Pizza, Pasta, Burger, Fast Food, Street Food, Shake, Beverages",3.2,₹300 for two,3.9,"Bhawar Kuan, Indore","Vintage Decor, Courteous Staff, Ambiance"
Shosha Cafebar,"North Indian, Mexican, Italian, Chinese, Fast Food, Thai, Desserts, Beverages",3.9,"₹1,500 for two",4.6,"Vijay Nagar, Indore","Staff, Great for Dates, Delicious Food"
Madhuram Cafe & Restaurant,"Fast Food, Sandwich",3.2,₹350 for two,1.3,"Bombay Bazaar, Indore","Impeccable Presentation, Trendy Setting, Live Sports Screening"
Dripco - Speciality Coffee Brewers,"Coffee, Shake, Tea, Beverages",3.9,₹400 for two,4.5,"Vijay Nagar, Indore","Innovative Dishes, Live Sports Screening, Courteous Staff"
Chick-N-Serve,"Fast Food, Lebanese, Arabian",3.1,₹400 for two,2.8,"56 Dukan, New Palasia, Indore","Clean Environment, Warm Atmosphere, Delicious Food"
The Arab Nama,"Arabian, Mandi, North Indian, Mughlai",3.9,"₹1,000 for two",4.0,"Old Palasia, Indore","Variety of Beer, Exquisite Taste, Inviting Decor"
Hotel Surya,"North Indian, Mughlai, Chinese, Continental, Biryani, Sandwich, Desserts, Beverages",4.2,"₹1,500 for two",2.3,"Hotel Surya, South Tukoganj, Indore","Brewed Beer, Young Crowd, Inviting Decor"
Krozzon By Masters Bakery,"Cafe, Coffee, Beverages, Bakery, Fast Food, Pizza, Sandwich, Desserts",3.7,₹600 for two,6.6,"Vijay Nagar, Indore","Young Crowd, Great Service, Warm Atmosphere"
The Richie Rich Resto & Cafe,"North Indian, South Indian, Chinese, Pizza, Burger, Fast Food, Desserts, Beverages",3.6,"₹1,000 for two",8.5,"Rajendra Nagar, Indore","Courteous Staff, Ambiance, Staff"
Hat's Off,"North Indian, Mughlai, Kebab, Chinese, Biryani",3.9,"₹1,200 for two",6.0,"Vijay Nagar, Indore","Comfortable Seating, Efficient Service, Attentive Service"
Food Fantasy,"North Indian, Chinese, Biryani, Sandwich, Burger, Rolls, Fast Food, Beverages",4.2,₹550 for two,4.6,"Vijay Nagar, Indore","Ambience, Great for Dates, Hospitable Staff"
Skyline Club & Resorts,"North Indian, Mughlai, Chinese, Continental, Pasta, Kebab, Biryani",3.0,"₹1,200 for two",10.2,"By Pass Road (South), Indore","Well-priced Options, Perfect Place, Live Sports Screening"
Tic Tac Toe,"North Indian, Fast Food",4.3,"₹3,800 for two",5.2,"Vijay Nagar, Indore","Flavorful Creations, Warm Atmosphere, Fresh Ingredients"
House Of Pita,"Middle Eastern, Turkish, Fast Food, Pizza, Continental",3.8,₹300 for two,6.7,"By Pass Road (South), Indore","Authentic Flavors, Extensive Mocktail Menu, Hospitable Staff"
The Homey Rolls,"Rolls, North Indian, Healthy Food, Biryani, Beverages, Finger Food",4.3,₹450 for two,2.8,"New Palasia, Indore","Friendly Staff, Diverse Menu, Staff"
Chemistry The Cafe Lounge,"Cafe, Coffee, Shake, Beverages, Fast Food, Ice Cream, Desserts, Burger",3.5,₹500 for two,5.2,"Vijay Nagar, Indore","Fresh Ingredients, Main Course, Quantity"
Orange Paradise,"North Indian, Fast Food",-,₹300 for two,4.5,"Airport Road, Indore","Variety of Beer, Cozy Ambiance, Consistent Quality"
Rajkamal Dal Bafle,North Indian,4.0,₹200 for two,1.8,"Sarwate Bus Stand, Indore","Breakfast, Friendly Staff, Great Service"
Maa Ki Rasoi,"North Indian, South Indian, Chinese, Kebab, Sandwich, Fast Food, Biryani, Beverages",4.0,₹700 for two,5.3,"Sudama Nagar, Indore","Sustainable Practices, Diverse Menu, Customizable Dishes"
Alav,"North Indian, Chinese, Kebab, Biryani, Sandwich, Ice Cream, Desserts, Beverages",3.9,₹700 for two,2.9,"New Palasia, Indore","Staff, Peaceful Ambience, Variety of Beer"
Nom! Nom! Chinese,"Chinese, Asian, Thai, Seafood, Beverages, Continental, Fast Food, Desserts",4.3,"₹1,000 for two",5.5,"Vijay Nagar, Indore","Well-priced Options, Fresh Ingredients, Good Music"
Cafe Igloo,"North Indian, Fast Food",New,₹300 for two,4.1,"Old Palasia, Indore","Impeccable Presentation, Efficient Service, Satisfying Portions"
We Desi,"North Indian, Mughlai, Rolls, Fast Food, Biryani, Chinese, Street Food, Beverages",4.0,₹550 for two,5.5,"Vijay Nagar, Indore","Great Service, Diverse Menu, Customizable Dishes"
Mishri Sweets,Mithai,4.2,₹250 for two,5.0,"Vijay Nagar, Indore","Consistent Quality, Ambiance, Cafe"
Rajendra Singh's Retro Kitchen,North Indian,-,"₹1,000 for two",7.9,"By Pass Road (North), Indore","Memorable Experience, Great for Dates, Staff"
Oakaz - Cafe and Restaurant,"Sandwich, Burger, Pizza, Fast Food, Chinese, North Indian, Beverages",3.2,"₹1,200 for two",2.8,"South Tukoganj, Indore","Perfect Place, Courteous Staff, Diverse Menu"
Karnawat Bhojan Prasadi,"North Indian, South Indian, Chinese, Sandwich, Pizza, Fast Food, Shake, Beverages",2.9,₹300 for two,3.3,"Airport Road, Indore","Friendly Staff, Good Bartenders, Satisfying Portions"
Hotel Madni Darbar,"North Indian, Maharashtrian, Mughlai, Chinese",4.0,₹500 for two,1.7,"Sarwate Bus Stand, Indore","Weekend Brunch, Friendly Staff, Clean Environment"
Cilantro,"North Indian, Asian",3.1,"₹1,200 for two",7.5,"Vijay Nagar, Indore","Breakfast, Flavorful Creations, Peaceful Ambience"
Effe Cafe,"South Indian, Italian, Pizza, Burger, Bar Food, Coffee, Beverages, Desserts",4.2,"₹1,000 for two",12.2,"Papaya Tree Hotel, Indore","Breakfast, Brewed Beer, Comfortable Seating"
Good For Gut,"North Indian, Burger, Sandwich, Fast Food",3.9,₹300 for two,4.2,"Old Palasia, Indore","Seasonal Menu, Courteous Staff, Creative Cuisine"
Johny Hot Dog,"Fast Food, Hot dogs, Street Food",-,₹150 for two,2.8,"56 Dukan, New Palasia, Indore","Efficient Service, Staff, Consistent Quality"
Hunger World Cafe,"Burger, Sandwich, Pizza, Fast Food, Shake, Beverages, Cafe",-,₹300 for two,6.0,"Vijay Nagar, Indore","Peaceful Ambience, Comfortable Seating, Quantity"
Epicure,"North Indian, Asian, Chinese, Continental, Biryani, Desserts, Bar Food",New,"₹2,100 for two",2.2,"South Tukoganj, Indore","Courteous Staff, Inviting Decor, Quantity"
Twilight - Hotel WOW CREST IHCL SELEQTIONS,"Bar Food, North Indian, Chinese, Continental, Italian, Pizza, Pasta, Beverages",4.4,"₹2,400 for two",4.6,"Hotel Wow, Vijay Nagar, Indore","Staff, Trendy Setting, Hospitality"
Chav - Truly Indian,North Indian,3.9,₹350 for two,4.8,"Khajrana, Indore","Attentive Service, Good Music, Perfect Place"
Oye24,"North Indian, Street Food",4.1,₹500 for two,6.6,"By Pass Road (North), Indore","Sophisticated, Brewed Beer, Perfect Place"
Veera Di Hatti,"North Indian, Kebab",4.4,₹400 for two,2.7,"Sapna Sangeeta, Indore","Local Sourcing, Satisfying Portions, Well-priced Options"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food",3.9,₹400 for two,3.8,"Old Palasia, Indore","Sustainable Practices, Great Service, Customizable Dishes"
Lite Meal Cafe & Restaurant,"North Indian, Sandwich, Pizza, Burger, Fast Food, Chinese, Shake, Beverages",3.4,₹350 for two,3.2,"New Palasia, Indore","Good Bartenders, Sustainable Practices, Warm Atmosphere"
Restro Delight,"North Indian, Chinese, Biryani, Rolls",3.9,"₹1,000 for two",5.0,"Vijay Nagar, Indore","Innovative Dishes, Seasonal Menu, Local Sourcing"
Goldy Di Hatti,"North Indian, Mughlai, Biryani, Chinese, Seafood, Street Food",3.9,₹550 for two,6.2,"Vijay Nagar, Indore","Satisfying Portions, Sophisticated, Sustainable Practices"
City Of Dreams,"Bar Food, North Indian, Biryani, Chinese, Sandwich, Fast Food, Desserts",-,"₹1,000 for two",4.3,"Vijay Nagar, Indore","Trendy Setting, Great for Dates, Brewed Beer"
Best Western Plus,"North Indian, Biryani, Fast Food, Chinese, Desserts",4.2,"₹1,000 for two",4.7,"Vijay Nagar, Indore","Brewed Beer, Authentic Flavors, Comfortable Seating"
T. O'Clock Cafe,"Pizza, Fast Food, Street Food, Shake, Beverages",3.0,₹300 for two,6.2,"Rajendra Nagar, Indore","Exquisite Taste, Customizable Dishes, Ambience"
Jamnaram's Pure Veg Multi-Cuisine Fine Dine Restaurant,"North Indian, Chinese, Continental, Italian, Sandwich, Fast Food, Salad, Desserts",3.7,"₹1,000 for two",7.6,"By Pass Road (South), Indore","Friendly Staff, Breakfast, Extensive Mocktail Menu"
Cafe Udipi,South Indian,4.5,₹400 for two,3.1,"Old Palasia, Indore","Hospitable Staff, Perfect Place, Live Sports Screening"
Bakenza,"Sandwich, Burger, Momos, Street Food, Fast Food, Coffee, Shake, Beverages",-,₹300 for two,4.5,"Airport Road, Indore","Main Course, Great Service, Memorable Experience"
Delectable Delights - Sayaji Hotel,"North Indian, Chinese, Beverages",4.7,"₹1,800 for two",4.4,"Sayaji Hotel, Vijay Nagar, Indore","Brewed Beer, Comfortable Seating, Live Sports Screening"
Shree Chotiwala Restaurant,"North Indian, Chinese",3.9,"₹1,000 for two",2.1,"South Tukoganj, Indore","Courteous Staff, Staff, Good Bartenders"
Vrindavan Restaurant,"North Indian, Chinese, Biryani, Salad, Desserts, Beverages",3.5,₹750 for two,2.6,"New Palasia, Indore","Memorable Experience, Ambience, Young Crowd"
Chef Lucky's Paratha On Wheels,"North Indian, Biryani, Beverages",4.3,₹500 for two,4.7,"Vijay Nagar, Indore","Inviting Decor, Hospitable Staff, Young Crowd"
Indiya Oye - Radisson Blue Hotel,"North Indian, Mughlai, Kebab, Desserts",4.0,"₹3,500 for two",5.4,"Radisson Blu Hotel, Vijay Nagar, Indore","Local Sourcing, Quantity, Creative Cuisine"
Shawarma Grill,"Shawarma, Momos",3.8,₹350 for two,6.6,"By Pass Road (South), Indore","Main Course, Great Service, Authentic Flavors"
Apna Sweets,"Desserts, Ice Cream, Juices, Shake, Beverages",3.7,₹350 for two,4.7,"Vijay Nagar, Indore","Consistent Quality, Impeccable Presentation, Perfect Place"
Bam-Booze Family Restaurant - Golden Treat,"North Indian, Mughlai, Chinese, Seafood, Kebab, Sandwich, Biryani, Beverages",4.1,"₹1,200 for two",3.6,"Bhawar Kuan, Indore","Hospitality, Diverse Menu, Weekend Brunch"
Kesarlal Pure Veg Restaurant,"North Indian, Chinese, Beverages",-,₹500 for two,10.2,"By Pass Road (South), Indore","Flavorful Creations, Great for Dates, Attentive Service"
Hotel Apna Avenue Foody,"North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages",4.0,"₹1,000 for two",2.5,"New Palasia, Indore","Cafe, Innovative Dishes, Live Sports Screening"
Mama Ji Ka Dhaba,"North Indian, Chinese",3.7,₹300 for two,11.3,"Rau, Indore","Main Course, Cafe, Satisfying Portions"
Sigdi - Sizzler & South Indian,"South Indian, Momos",3.9,₹800 for two,7.6,"By Pass Road (North), Indore","Diverse Menu, Warm Atmosphere, Flavorful Creations"
Tea & Shakes,"Chinese, Pizza, Sandwich, Pasta, Salad, North Indian, Beverages",3.8,₹500 for two,5.2,"Vijay Nagar, Indore","Good Bartenders, Diverse Menu, Efficient Service"
The Frontier Pavilion,"North Indian, Continental, Bar Food, Chinese, Salad, Oriental, Desserts",3.9,"₹1,500 for two",4.9,"Bhawar Kuan, Indore","Flavorful Creations, Good Bartenders, Creative Cuisine"
Kebabilal's,"North Indian, Chinese, Mughlai, Kebab, Biryani, Desserts, Beverages",3.7,₹800 for two,4.3,"Bhawar Kuan, Indore","Warm Atmosphere, Fresh Ingredients, Diverse Menu"
Saffron,"North Indian, Chinese, South Indian, Pizza, Sandwich, Fast Food, Ice Cream, Beverages",3.1,₹400 for two,3.0,"Ranjeet Hanuman, Indore","Fresh Ingredients, Consistent Quality, Ambience"
Carobar  Indore,"North Indian, Mughlai, Chinese, Biryani",3.9,"₹1,400 for two",8.6,"By Pass Road (North), Indore","Consistent Quality, Clean Environment, Authentic Flavors"
Real Paprika Pizzeria,"Pizza, Fast Food, Shake, Beverages",3.3,₹400 for two,4.9,"Sudama Nagar, Indore","Attentive Service, Satisfying Portions, Diverse Menu"
Wah Wah Chaap,"North Indian, Chinese, Rolls, Biryani, Desserts, Shake, Beverages",4.1,₹400 for two,5.5,"Vijay Nagar, Indore","Local Sourcing, Clean Environment, Exquisite Taste"
Yes Boss - The Food Court,"North Indian, Continental, Chinese, Fast Food, Shake, Beverages",2.9,₹450 for two,7.5,"Vijay Nagar, Indore","Trendy Setting, Sustainable Practices, Warm Atmosphere"
Prithvilok Restaurant,North Indian,4.2,₹500 for two,1.0,"Rajwada, Indore","Impeccable Presentation, Brewed Beer, Exquisite Taste"
Shree Hari Om Dhaba,North Indian,4.1,₹150 for two,7.7,"Rajendra Nagar, Indore","Cozy Ambiance, Warm Atmosphere, Clean Environment"
Buddy's,"Cafe, North Indian, Chinese, Mexican, Pasta, Fast Food, Desserts, Beverages",3.2,₹700 for two,2.4,"South Tukoganj, Indore","Efficient Service, Weekend Brunch, Ambience"
Hotel Kalinga,"North Indian, Chinese, Continental, Biryani, Kebab, Mughlai, Seafood, Fast Food",4.0,"₹1,000 for two",2.1,"South Tukoganj, Indore","Authentic Flavors, Seasonal Menu, Impeccable Presentation"
Indore Accent - By AFC,"North Indian, Continental",4.0,"₹1,000 for two",7.7,"MR 10 Road, Indore","Trendy Setting, Efficient Service, Breakfast"
Opium Bar By The Roof,"Bar Food, North Indian, Mughlai, Chinese, Seafood, Biryani, Desserts, Beverages",4.3,"₹2,000 for two",5.8,"Infiniti Hotel, Vijay Nagar, Indore","Ambience, Great Service, Efficient Service"
Poonam's Patisserie,"Bakery, Desserts",3.8,₹350 for two,3.0,"Sapna Sangeeta, Indore","Extensive Mocktail Menu, Friendly Staff, Efficient Service"
Hotel 5 Senses,"North Indian, Chinese, Salad, Pizza, Fast Food, Beverages",-,₹400 for two,25.8,"Mhow, Indore","Exquisite Taste, Authentic Flavors, Diverse Menu"
Pizzaporium,"Pizza, Chinese, Fast Food, Beverages",2.9,₹350 for two,4.3,"Vijay Nagar, Indore","Authentic Flavors, Perfect Place, Young Crowd"
Rolls Mania,"Rolls, Fast Food, Beverages",3.6,₹300 for two,5.5,"Vijay Nagar, Indore","Local Sourcing, Exquisite Taste, Cafe"
Sassy House - All Day Cafe,"Cafe, Fast Food, North Indian, Beverages, Desserts, Pizza, Pasta",3.6,₹650 for two,5.1,"Vijay Nagar, Indore","Weekend Brunch, Young Crowd, Cozy Ambiance"
F For Fries,"Fast Food, Beverages",-,₹300 for two,3.9,"Old Palasia, Indore","Friendly Staff, Satisfying Portions, Hospitable Staff"
The Belgian Street,"Continental, Italian, Fast Food, Street Food, Ice Cream, Desserts, Coffee, Beverages",-,₹600 for two,5.2,"Vijay Nagar, Indore","Innovative Dishes, Impeccable Presentation, Ambience"
King Of Cakes,"Bakery, Desserts, Street Food",3.8,₹450 for two,6.7,"Vijay Nagar, Indore","Innovative Dishes, Friendly Staff, Vintage Decor"
Charpai - The Dhaba,"North Indian, Biryani, Chinese, Desserts, Beverages",3.5,"₹1,000 for two",10.5,"MR 10 Road, Indore","Vintage Decor, Local Sourcing, Well-priced Options"
Pitchers Cafebar,"North Indian, Pizza, Chinese, Bar Food, Beverages",4.8,"₹1,000 for two",4.2,"Vijay Nagar, Indore","Efficient Service, Diverse Menu, Ambiance"
Mr. Bistro,"Sandwich, Wraps, Fast Food, Coffee, Beverages",-,₹400 for two,3.9,"Khajrana, Indore","Great Service, Customizable Dishes, Weekend Brunch"
Heritage By Shikarwadi,"Chinese, North Indian, Mughlai",-,₹450 for two,7.4,"By Pass Road (North), Indore","Diverse Menu, Seasonal Menu, Trendy Setting"
Orion Cafe Restro,"Chinese, North Indian, Sandwich, Pizza, Fast Food, Desserts, Beverages",4.2,₹800 for two,8.0,"By Pass Road (North), Indore","Hospitality, Ambiance, Brewed Beer"
Municipal Cafe Bar,"North Indian, Italian, Desserts",-,"₹1,450 for two",5.2,"Vijay Nagar, Indore","Exquisite Taste, Efficient Service, Clean Environment"
Maa Ki Rasoi,"North Indian, Chinese, Mughlai",3.1,₹700 for two,5.1,"Mangal City Mall, Vijay Nagar, Indore","Innovative Dishes, Brewed Beer, Diverse Menu"
Zakir Family Restaurant,"North Indian, Mughlai, Kebab, Lebanese, Chinese, Seafood, Biryani",4.2,"₹1,000 for two",4.6,"Khajrana, Indore","Inviting Decor, Courteous Staff, Quantity"
Chai Sutta Bar,"Tea, Coffee, Shake, Sandwich, Pizza, Burger, Fast Food, Street Food",-,₹200 for two,6.6,"Bhawar Kuan, Indore","Flavorful Creations, Quantity, Fresh Ingredients"
Guru Kripa,"North Indian, Fast Food, Chinese",4.0,₹450 for two,13.0,"Rau, Indore","Vintage Decor, Innovative Dishes, Perfect Place"
BTS FOOD WORLD,"Chinese, Pizza, Sandwich, Tea, Shake, Beverages",New,₹300 for two,3.7,"Bhawar Kuan, Indore","Creative Cuisine, Ambiance, Satisfying Portions"
Kapoors Restaurant,North Indian,3.8,₹400 for two,3.2,"Sapna Sangeeta, Indore","Staff, Hospitality, Brewed Beer"
Ice Cream Factory And Shahi Durbar,"Ice Cream, Desserts",-,₹200 for two,2.8,"South Tukoganj, Indore","Ambiance, Staff, Trendy Setting"
Hotel Nizam,"North Indian, Mughlai",3.8,₹350 for two,5.9,"Khajrana, Indore","Young Crowd, Hospitable Staff, Peaceful Ambience"
La Milano Pizzeria,"Pizza, Pasta, Italian, American, Mexican, Desserts, Beverages, Fast Food",3.4,₹450 for two,2.9,"Geeta Bhavan, Indore","Good Bartenders, Clean Environment, Trendy Setting"
Chaapsticks,"North Indian, Rolls, Momos, Beverages",3.8,₹300 for two,2.4,"Manik Bagh Road, Indore","Consistent Quality, Flavorful Creations, Good Bartenders"
Euphoria Cafe,"Coffee, Sandwich, Pizza, Fast Food, Momos, Beverages",-,₹300 for two,6.2,"Rajendra Nagar, Indore","Sophisticated, Cozy Ambiance, Creative Cuisine"
Fiza Restaurant,"North Indian, Maharashtrian",3.8,₹350 for two,1.2,"Bombay Bazaar, Indore","Warm Atmosphere, Weekend Brunch, Variety of Beer"
Shree Nakoda Dham Bhojnalaya,North Indian,-,₹300 for two,1.3,"Bombay Bazaar, Indore","Inviting Decor, Ambience, Vintage Decor"
Chick N Serve,"Lebanese, North Indian, Kebab, Chinese, Mughlai, Biryani",3.7,"₹1,000 for two",4.7,"Vijay Nagar, Indore","Seasonal Menu, Local Sourcing, Cafe"
H & D Nonveg Restaurant,"North Indian, Mughlai",3.2,₹500 for two,7.2,"Vijay Nagar, Indore","Seasonal Menu, Trendy Setting, Sophisticated"
Cake & Art Bakery Shop,"Bakery, Desserts",-,₹250 for two,8.2,"Vijay Nagar, Indore","Creative Cuisine, Memorable Experience, Warm Atmosphere"
Cheezah,"Chinese, Pizza, Sandwich, Burger, Momos, Fast Food, Street Food",-,₹300 for two,8.3,"Vijay Nagar, Indore","Warm Atmosphere, Hospitable Staff, Seasonal Menu"
Curry Cafe,"North Indian, Chinese, Fast Food, Salad, Desserts, Beverages",3.9,₹800 for two,2.4,"Rajshahi Palace, South Tukoganj, Indore","Young Crowd, Perfect Place, Comfortable Seating"
Baba Kulfi House,"Desserts, Ice Cream, North Indian, South Indian, Sandwich, Fast Food, Mithai, Beverages",3.8,₹300 for two,11.6,"Rau, Indore","Ambiance, Memorable Experience, Great Service"
Chaudhary Ka Dhaba,"North Indian, Chinese, Mughlai, Street Food, Fast Food, Ice Cream, Desserts, Beverages",3.0,₹400 for two,7.2,"Vijay Nagar, Indore","Good Bartenders, Cozy Ambiance, Sustainable Practices"
Indian Coffee House,"South Indian, North Indian, Chinese, Beverages",3.9,₹400 for two,5.5,"BCM Heights, Vijay Nagar, Indore","Creative Cuisine, Exquisite Taste, Inviting Decor"
Family Adda,"Chinese, South Indian, Beverages, Pasta, Street Food, Sichuan",4.3,₹350 for two,4.1,"Old Palasia, Indore","Sustainable Practices, Consistent Quality, Seasonal Menu"
Domac Cafe & Pizza,Pizza,New,₹200 for two,5.1,"Vijay Nagar, Indore","Weekend Brunch, Young Crowd, Seasonal Menu"
Sagar Gaire,"South Indian, North Indian, Pasta, Sandwich, Pizza, Fast Food, Chinese, Beverages",3.8,₹400 for two,2.7,"56 Dukan, New Palasia, Indore","Diverse Menu, Cozy Ambiance, Warm Atmosphere"
Swarna's Kitchen,North Indian,New,₹300 for two,3.7,"Old Palasia, Indore","Clean Environment, Comfortable Seating, Customizable Dishes"
Shyam Sandwich & Shanky's Café,"Sandwich, Fast Food, Beverages",3.9,₹300 for two,2.0,"YN Road, Indore","Local Sourcing, Efficient Service, Peaceful Ambience"
Destiny Cafe,"Cafe, Coffee, Shake, Beverages, Sandwich, Fast Food, North Indian, Chinese",-,₹600 for two,3.9,"Press Complex, Indore","Perfect Place, Impeccable Presentation, Seasonal Menu"
Nanaksar Dhaba,"North Indian, Chinese, Fast Food, Street Food, Beverages",New,₹300 for two,2.9,"Geeta Bhavan, Indore","Inviting Decor, Young Crowd, Hospitable Staff"
Mr. Singh's,"North Indian, Mughlai, Chinese, Rolls, Biryani",3.7,₹800 for two,5.5,"Vijay Nagar, Indore","Peaceful Ambience, Extensive Mocktail Menu, Trendy Setting"
Salt and Pepper - Hotel Amar Vilas,"North Indian, Mughlai, Chinese, Oriental, Continental, Seafood, Desserts, Beverages",4.0,"₹1,300 for two",4.1,"Hotel Amar Vilas, Press Complex, Indore","Perfect Place, Diverse Menu, Sophisticated"
Cakes N Craft,"Bakery, Desserts, Fast Food",2.8,₹500 for two,5.6,"Rajendra Nagar, Indore","Young Crowd, Well-priced Options, Efficient Service"
The Cozmo Kitchen,"North Indian, Chinese, Sandwich, Italian, Rolls, Fast Food, Desserts, Beverages",-,"₹1,000 for two",6.7,"By Pass Road (North), Indore","Fresh Ingredients, Weekend Brunch, Cafe"
Hotel Kanchan,"North Indian, Mughlai, Kebab, Chinese, Sichuan, Continental, Desserts, Beverages",4.3,"₹1,200 for two",2.2,"South Tukoganj, Indore","Good Bartenders, Inviting Decor, Warm Atmosphere"
Layers By Janvi,Bakery,3.8,₹350 for two,2.2,"YN Road, Indore","Cafe, Young Crowd, Hospitality"
Ice Flames Cafe,"Pizza, Sandwich, Burger, Pasta, Street Food, Coffee, Shake, Beverages",3.9,₹350 for two,6.1,"Rajendra Nagar, Indore","Main Course, Exquisite Taste, Young Crowd"
Mr Saboodana,"North Indian, Street Food, Beverages",3.6,₹200 for two,5.1,"Vijay Nagar, Indore","Extensive Mocktail Menu, Comfortable Seating, Young Crowd"
Aieroc Resto Cafe,"Cafe, Continental, Chinese, Italian, Pizza, Sandwich, Fast Food, Beverages",4.2,"₹1,100 for two",6.3,"By Pass Road (North), Indore","Good Bartenders, Delicious Food, Cozy Ambiance"
Cakes 365,"Bakery, Fast Food, Street Food, Shake, Coffee",3.4,₹300 for two,3.7,"Old Palasia, Indore","Sophisticated, Perfect Place, Warm Atmosphere"
The Grilled Trip,"Sandwich, Fast Food, Continental",-,₹450 for two,4.8,"Vijay Nagar, Indore","Weekend Brunch, Good Music, Great Service"
21 Baker Street,"Pizza, Sandwich, Burger, Fast Food, Beverages",3.8,₹200 for two,5.0,"Geeta Bhavan, Indore","Creative Cuisine, Good Bartenders, Memorable Experience"
Veg Bites,"Cafe, North Indian, Chinese, Pizza, Pasta, Fast Food, Momos, Beverages",2.7,₹500 for two,5.2,"Vijay Nagar, Indore","Comfortable Seating, Cafe, Vintage Decor"
Zuby's Fast 'N' Foodious,"Fast Food, Burger, Sandwich, Beverages",4.5,₹400 for two,2.9,"Bhawar Kuan, Indore","Memorable Experience, Variety of Beer, Live Sports Screening"
Raju Bhai Ka Dhaba - Mansha Foods,North Indian,4.6,₹300 for two,3.6,"Bhawar Kuan, Indore","Exquisite Taste, Variety of Beer, Good Music"
Shreeleela Bhojnalaya,"North Indian, Chinese, Desserts",3.4,₹300 for two,1.8,"Sarwate Bus Stand, Indore","Seasonal Menu, Efficient Service, Clean Environment"
7 Trillion,"North Indian, Fast Food, Continental, Desserts, Beverages",-,"₹1,000 for two",7.7,"By Pass Road (North), Indore","Cafe, Hospitality, Diverse Menu"
Hummus & Chips,"Arabian, Wraps, Fast Food, Salad",-,₹350 for two,2.7,"New Palasia, Indore","Breakfast, Diverse Menu, Ambience"
Nazaara - Papaya Tree Hotel,"North Indian, Italian, Continental, Chinese, Oriental, Bar Food, Desserts, Beverages",4.3,"₹1,600 for two",12.1,"Papaya Tree Hotel, Indore","Warm Atmosphere, Sustainable Practices, Memorable Experience"
IDC Idliwali,South Indian,3.0,₹150 for two,20.9,"Mhow, Indore","Ambience, Great Service, Brewed Beer"
Murari Dhaba,North Indian,3.2,₹250 for two,7.7,"Rajendra Nagar, Indore","Breakfast, Inviting Decor, Live Sports Screening"
Tealogy,"Tea, Coffee, Shake, Beverages, Sandwich, Pizza, Fast Food, Street Food",3.5,₹200 for two,3.1,"Sapna Sangeeta, Indore","Friendly Staff, Breakfast, Great Service"
King's Cafe & Restaurant,North Indian,3.8,₹250 for two,2.2,"Malharganj, Indore","Courteous Staff, Hospitable Staff, Exquisite Taste"
7th Cloud Restaurant,"North Indian, Mughlai, Chinese, Fast Food, Biryani, Desserts, Beverages",4.2,"₹1,200 for two",7.3,"Rajendra Nagar, Indore","Exquisite Taste, Live Sports Screening, Breakfast"
Gola Sizzlers,"Cafe, Coffee, North Indian, Pizza, Pasta, Salad, Shake, Beverages",New,"₹1,500 for two",8.3,"By Pass Road (North), Indore","Hospitality, Fresh Ingredients, Breakfast"
Gordhan Thal,"North Indian, Fast Food, Street Food, Beverages",3.9,₹700 for two,4.4,"C21 Mall, Vijay Nagar, Indore","Great Service, Diverse Menu, Efficient Service"
Drunk The Tea Cafe,"Fast Food, Sandwich, Sichuan, Shake, Beverages",3.5,₹250 for two,4.8,"Vijay Nagar, Indore","Live Sports Screening, Warm Atmosphere, Efficient Service"
Nautica - The Red Maple,"North Indian, Mughlai, Chinese, Continental, Fast Food, Biryani, Desserts, Beverages",2.7,"₹1,300 for two",13.0,"The Red Maple Mashal, Rau, Indore","Clean Environment, Seasonal Menu, Great Service"
The Blue Roof,"Pizza, Burger, Pasta, Fast Food, Momos, Chinese, Street Food, Beverages",3.3,₹400 for two,3.5,"HIG-LIG, Indore","Great Service, Authentic Flavors, Sustainable Practices"
